City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,olonkinbyen,70.9221,-8.7187,272.91,98,98,2.15,SJ,1702358275
84,rimouski,48.4488,-68.524,271.25,85,100,8.23,CA,1702358126
85,recani,31.2846,-4.2688,286.64,42,91,1.16,MA,1702358275
86,hailin,44.5833,129.4167,260.23,56,4,0.99,CN,1702358276
87,albany,42.6001,-73.9662,273.93,73,64,0.89,US,1702358130
88,yeniseysk,58.4497,92.1703,239.79,97,79,0.89,RU,1702358277
89,iqaluit,63.7506,-68.5145,257.0,78,75,2.06,CA,1702358277
90,walvis bay,-22.9575,14.5053,289.87,90,39,0.64,NA,1702358277
91,kodiak,57.79,-152.4072,267.88,74,0,2.06,US,1702358277
92,lochbuie,40.0072,-104.7161,277.91,83,75,4.12,US,1702358278
93,ola,59.5833,151.2833,267.13,93,100,6.89,RU,1702358278
94,sarkand,45.41,79.9186,259.67,95,100,2.09,KZ,1702358278
95,flin flon,54.7682,-101.865,258.63,76,76,6.15,CA,1702358279
96,atafu village,-8.5421,-172.5159,302.11,79,100,8.25,TK,1702358279
97,mermoz boabab,14.7065,-17.4758,295.46,67,30,6.04,SN,1702358279
98,hermanus,-34.4187,19.2345,289.9,62,100,4.3,ZA,1702358280
99,dudinka,69.4058,86.1778,251.86,97,100,5.81,RU,1702358280
100,north platte,41.1239,-100.7654,276.55,75,0,7.15,US,1702358280
101,shumikha,55.2261,63.2961,243.24,95,14,2.19,RU,1702358280
102,lionel town,17.8101,-77.2406,300.09,87,97,2.29,JM,1702358281
103,udachny,66.4167,112.4,248.01,98,99,3.19,RU,1702358281
104,tura,25.5198,90.2201,296.24,55,2,1.03,IN,1702358281
105,lezhe,41.7836,19.6436,282.33,80,76,2.08,AL,1702358282
106,mejit,10.2753,170.8646,300.37,75,74,8.39,MH,1702358282
107,ulety,51.3572,112.4849,251.97,73,54,1.14,RU,1702358282
108,hadibu,12.65,54.0333,298.4,65,77,5.18,YE,1702358283
109,puerto natales,-51.7236,-72.4875,279.29,87,90,4.38,CL,1702358186
110,molde,62.7375,7.1591,269.06,86,100,3.09,NO,1702358283
111,lihue,21.9789,-159.3672,297.24,88,40,3.6,US,1702358284
112,seryshevo,51.0933,128.3786,251.97,77,5,3.38,RU,1702358284
113,port elizabeth,-33.918,25.5701,292.09,80,4,4.02,ZA,1702358285
114,hasaki,35.7333,140.8333,289.42,87,100,6.09,JP,1702358285
115,penjamo,20.4333,-101.7333,283.55,86,99,1.24,MX,1702358286
116,blackmans bay,-43.0167,147.3167,295.22,45,100,3.0,AU,1702358286
117,jamestown,42.097,-79.2353,273.92,81,100,5.14,US,1702358287
118,shira,54.4911,89.9531,245.55,92,12,1.07,RU,1702358287
119,belaya kholunitsa,58.84,50.8528,253.74,84,100,5.95,RU,1702358287
120,saint-joseph,-21.3667,55.6167,300.36,69,51,4.0,RE,1702358288
121,petropavlovsk-kamchatsky,53.0452,158.6483,264.48,87,40,7.6,RU,1702358288
122,vila franca do campo,37.7167,-25.4333,287.38,80,52,3.07,PT,1702358289
123,adrar,20.5022,-10.0711,288.63,24,36,4.35,MR,1702358289
124,cidreira,-30.1811,-50.2056,293.91,82,3,7.19,BR,1702358289
125,vadso,70.0744,29.7487,264.24,79,20,5.66,NO,1702358290
126,afaahiti,-17.75,-149.2833,300.08,79,94,10.28,PF,1702358290
127,keflavik,64.0049,-22.5624,271.39,86,20,1.03,IS,1702358291
128,myitkyina,25.3833,97.4,298.24,43,26,1.1,MM,1702358291
129,bukene,-4.2333,32.8833,292.82,90,100,1.36,TZ,1702358292
